💀|calavera skull
😍|ojos corazón heart
💔|corazón roto broken heart
🙊|nospeak monkey mono mudo
🏆|trophey trofeo
🌈|rainbow arcoiris
📜|scroll papiro
📚|libros books
📖|open book libro abierto
📓|notebook notas
😊|smile happy sonrisa
😂|joy tears sonrisa lágrima
😋|Face Savouring Delicious Food lengua sonrisa
😄|Smiling Face With Open Mouth And Smiling Eyes burla
😹|Cat Face With Tears Of Joy gato sonrisa lágrimas
🕹️|Joystick video game juego
🎮|Console video game consola pad
🏃|Runner corredor izquierda
🔨|Hammer martillo
🔧|wrench llave tuercas
🧰|toolbox caja herramientas
🪓|axe hacha
🪛|Screwdriver destornillador
🐍|Snake serptiente python
🔍|Left-Pointing Magnifying Glass lupa
⌛|Hourglass reloj arena
⏰|Alarm Clock reloj despertador
👀|eyes ojos
💻|Personal Computer laptop portátil
🖥️|Desktop Computer escritorio
🤖|Robot Face
💽|Minidisc cd compacto
⌨️|Keyboard teclado
🎵|Musical Note nota
🎤|Microphone micrófono
🎧|Headphone audífonos
🎸|guitar guitarra
🎹|musical keyboard piano
🎻|Violin violín
🥁|drums tambor
📻|radio
🎺|Trumpet trompeta
🎷|Saxophone
🌪️|tornado
🌊|wave sea
🔊|Speaker Three Sound Waves bocina
🏁|Flag bandera meta
🚩|red flag
📬|mailbox cartero
🎉|party
🍻|cerveza
🔒|lock candado
✅|check
🔑|key llave
⚠️|warning advertencia
🚸|children crossing zona escolar
🚧|construcción construction
❕|exclamation exclamación
❗|exclamación rojo red
🛫|avión despega flight departs
🛬|avión atteriza flight arrives
🐧|penguin pingüino
🥇|medalla
🚪|door puerta
🧹|broom escoba
⚡|light rayo
💡|bulb bombillo
🚨|sirena revolving light
🌜|moon luna
🇨🇴|Colombia
🇪🇸|Spain
🌏|globo terraqueo tierra
🇺🇸|us estados unidos
🇧🇷|brazil portugués
✌️|victory victoria
🕊️|paloma paz
🍑|peach melocotón
☺️|blush apenado
☝️|finger reason razón
👷|worker casco construcción trabajador
🐜|ant hormiga
⚙️|gears engranaje
💾|disco diskette disquete
↰|arrow left flecha izquierda
↱|arrow right flecha derecha
⇅|doble sentido flecha
